Id,Abbreviation,Expansion
370,0,distinguisher
266,1,distinguisher
53,2,distinguisher
0,2,to
72,3,distinguisher
295,32,distinguisher
88,8,distinguisher
17,a,value
238,a,args
169,a,action
187,a,distinguisher
0,a,mathvariable;first coefficient of elliptic curve a
15,a,american standard code for information interchange
117,a,mathvariable; first coefficient of elliptic curve a
1,a,mathvariable;parameter a of the weierstrass representation
309,aad,additional authenticated data
118,ab,action bar
3,abs,absolute value
96,abst,abstract
3,ack,acknowledge
200,acos,arccosine
201,acos,inverse cosine
203,acosh,hyperbolic arccosine
202,acosh,inverse hyperbolic cosine
204,acot,inverse cotangent
205,acot,arccotangent
206,acoth,inverse hyperbolic cotangent
207,acoth,hyperbolic arccotangent
142,act,action
6,act,activation
195,addr,address
295,aes,advanced encrpytion standard
7,aes,advanced encryption standard
0,afm,adobe font metrics
259,align,alignment
121,alloc,allocate
278,alloc,allocat
22,alt,alternate
10,anim,animator
23,anon,anonymous
24,api,application programmer interface
16,app,application
236,approx,approximately
11,arg,argument
246,args,arguments
20,arr,array
269,ascii,american standard code information exchange
79,ascii,american standard code information interchange
208,asin,inverse sine
209,asin,arcsine
211,asinh,hyperbolic inverse sine
210,asinh,hyperbolic arcsine
21,async,asynchronous
22,at,animate to
13,atan,arctangent
213,atan,inverse tangent
215,atanh,hyperbolic inverse tangent
214,atanh,hyperbolic arctangent
197,attr,attribute
222,attrs,attributes
26,atts,attributes
26,auth,authorization
27,auto,automatically
28,av,animation value
145,b,bounding
100,b,byte
123,b,mathvariable;second coefficient of elliptic curve b
147,b,button
83,b,distinguisher
252,b,bottom
29,b,boolean
19,b,blue
10,b,mathvariable;parameter b of the weierstrass representation
29,b,bytes
30,bb,byte buffer
178,ber,basic encoding rules
361,bg,background
37,bk,break
33,bool,boolean
272,br, bottom right
21,bs,backspace
188,bsd,berkley software distribution
327,btn,button
34,buf,buffer
35,buff,buffer
185,c,carriage
190,c,col
335,c,c programming language
277,c,condition
171,c,collection
182,c,character
144,c,color
264,c,cell
36,c,center
192,c,columns
10,c,count
289,c,channels
40,c,constants
18,c,cipher
134,c,current
149,calc,calculate
377,calloc,contiguous allocate
42,cap,capitalize
296,cbc,cipher block chaining
43,cc,character code
337,cc,c++ programming language
282,ccs,color conversion system
216,ceil,ceiling
32,cfg,configure
138,cfg,config
340,cfg,configuration
131,cg,color group
80,ch,character
44,char,character
214,chars,characters
297,chr,character
20,cis,cipher input stream
42,cmd, command
34,cmd,command
330,cmp,compare
40,cnt,content
21,cnt,count
276,co,conditional
26,coeff,coefficient
37,cofp,current output file pointer
38,col,column
193,cols,columns
217,combin,combine
218,combina,combination
45,compat,compatibility
274,compl,completion
245,cond,condition
385,conf,configure
50,config,configuration
269,config,configure
54,conn,connection
263,const,constant
247,conv,convert
56,coords,coordinates
339,corr,correct
57,cos,cosine
22,cos,cipher output stream
219,cot,cotangent
220,coth,hyperbolic cotangent
40,cour,courier
42,cp,character pointer
126,cpu,central processing unit
132,cr,color role
25,crt,chinese remainder theorem
152,cs,color space
34,csv,comma separated values
33,ct,cipher text
7,ctrl,control
140,ctx,context
45,cur,current
182,curr,current
158,cwd,current working directory
78,d,draft
62,d,data
66,d,debug
67,d,delta
75,d,double
55,d,dimension
273,d,damage
281,d,device
8,d,distinguisher
154,d,double spin box
108,d,docker
35,d,mathvariable;private exponent d
114,d,document
194,dat,data
46,db,database
256,db,delta bottom
279,dbg,debug
123,dbl,double
80,dc,data center
81,dc,datacenter
109,dcop,desktop communication protocol library
36,dec,decryption
50,decl,declare
51,def,define
179,der,distinguished encoding rules
347,desc,description
342,desc,describe
249,dev,deviation
286,dh,diffie hellman
284,dict,dictionary
83,diff,difference
84,dip,device independent pixel
118,dir,directory
251,dirs,directories
242,div,divide
80,dk,denmark
254,dl,delta left
49,dlg,dialog
87,dns,domain name server
111,doc,document
268,dom,document object model
52,dos,disk operating system
90,dp,device independent pixel
45,dp,mathvariable;prime exponent p
146,dpi,dots per inch
46,dq,mathvariable;prime exponent q
255,dr,delta right
47,dsa,digital signature algorithm
272,dsc,document structuring conventions
116,dst,destination
253,dt,delta top
91,dt,delta time
167,dw,dock widget
55,dw,double word
60,e,enumerator
55,e,mathvariable;public exponent e
94,e,exception
93,e,event
92,e,error
58,e,enumeration
5,eax,encrypt authenticate translate
78,ec,elliptic curve
301,ecb,electronic code book
304,ecdhc,elliptic curve diffie hellman cofactor
130,ek,encryption key
99,elem,element
104,enc,encode
63,eng,engine
106,enum,enumerator
164,env,environment
303,eof,end of file
243,eps,epsilon
270,eps,encapsulated postscript
116,epsf,encapsulated postscript file
101,eq,equals
53,err,error
108,errno,error number
128,esc,escape
95,ev,event
196,eval,evaluate
229,evt,event
102,ex,exception
195,ex,expression
26,exec,execute
229,exp,exponent
52,expr,expression
48,ext,extension
154,f,font
156,f,file
71,f,segment
194,f,formula
69,f,float
250,f,function
290,f,format
130,f,flag
107,f,mathvariable;greatest common denominator f
172,f,factory
170,f,files
198,fabs,floating point absolute value
244,fac,factorial
97,fc,file channel
84,fi,finland
163,fi,file
221,fib,fibonacci
72,fini,finish
1,fl,flock
79,fm,file map
263,fm,font metrics
28,fmt,format
239,fn,function
98,fos,file output stream
108,fp,finite prime
235,func,function
151,fw,frame width
82,g,global
135,g,mathvariable;dsa base g
110,g,groups
109,g,generator
157,g,green
111,gcd,greatest common denominator
113,gcm,galois counter mode
100,gcm,google cloud messaging
74,gen,generator
148,geom,geometry
103,gif,graphics interchange format
83,gp,global pointer
153,grad,gradient
139,grp,group
161,gs,gnu enscript
179,gui,graphical user interface
109,guid,globally unique identifier
